ID,Index,cv,mode,nbr,ndsi,ndvi,rcvmax
1_71_25,0,4929315,82,0.06541032,-0.050646257,0.10645808,0.761932133
1_71_26,0,4861835.75,82,0.06348427,-0.04454094,0.11218219,0.741855958
1_71_27,0,4849205.25,82,0.065623656,-0.048738677,0.10999207,0.736173865
1_71_28,0,4849205.25,82,0.065623656,-0.048738677,0.10999207,0.736173865
1_71_29,0,4973520,82,0.04776167,-0.05352157,0.10545965,0.754898352
1_71_30,0,4881212.75,82,0.05940338,-0.050753806,0.11242189,0.741396836
1_71_31,0,4614389,82,0.08004773,-0.04854543,0.116907686,0.710574702
1_71_32,0,4606528.75,82,0.06803566,-0.050447315,0.098201804,0.705346909
1_71_33,0,4766364.5,82,0.07943855,-0.056314416,0.10730234,0.741108101
1_71_34,0,4766364.5,82,0.07943855,-0.056314416,0.10730234,0.741108101
1_71_35,0,4728980.25,82,0.09122302,-0.05049607,0.12935498,0.73844726
1_71_36,0,4679903.25,82,0.09993042,-0.051032495,0.12919699,0.729875799
1_71_37,0,4723205.5,82,0.0918186,-0.04808928,0.11933058,0.730648678
1_71_38,0,4623820.75,82,0.10308994,-0.04866576,0.13221158,0.71714359
1_71_39,0,4457382.25,82,0.11442929,-0.049275722,0.13687298,0.696638212
1_71_40,0,4457382.25,82,0.11442929,-0.049275722,0.13687298,0.696638212
1_71_41,0,4401484.5,82,0.10555229,-0.057177924,0.13837355,0.712988267
1_71_42,0,4400445.75,82,0.105165035,-0.058904376,0.13892332,0.709211655
1_71_43,0,4587805.75,82,0.101448625,-0.050888546,0.12373859,0.717677531
1_71_44,0,4657154.25,82,0.0963604,-0.052080203,0.12453508,0.73254206
1_71_45,0,4682863.5,82,0.09651245,-0.048212044,0.12092963,0.728703666
1_71_46,0,4682863.5,82,0.09651245,-0.048212044,0.12092963,0.728703666
1_71_47,0,4695074.5,82,0.095003776,-0.052256133,0.11706251,0.730388373
1_71_48,0,4794757.25,82,0.06836986,-0.050209235,0.11067692,0.743703538
1_71_49,0,4785889.75,82,0.07635407,-0.053442713,0.116145745,0.738892567
1_71_50,0,4655945.75,82,0.073970504,-0.058222357,0.11750929,0.725673907
1_71_51,0,4774109,82,0.066471174,-0.06412735,0.12217851,0.760431725
1_71_52,0,4774109,82,0.066471174,-0.06412735,0.12217851,0.760431725
1_71_53,0,4440602.25,82,0.084593646,-0.074278094,0.14449666,0.757185287
1_71_54,0,4133752,82,0.10137872,-0.06785785,0.1426687,0.709783172
1_71_55,0,4083815,82,0.10807883,-0.06901476,0.14751205,0.721220354
1_71_56,0,4063448.25,82,0.10942741,-0.06419951,0.1544193,0.723241167
1_71_57,0,4566737.5,82,0.046111953,-0.055498082,0.08192196,0.713757273
1_71_58,0,4695611.25,82,0.044152085,-0.058849085,0.10573215,0.751895112
1_71_59,0,4938352,82,0.05312068,-0.059812274,0.11717314,0.792438278
1_71_60,0,4938352,82,0.05312068,-0.059812274,0.11717314,0.792438278
1_71_61,0,4876519.25,82,0.059718896,-0.056964636,0.11372576,0.766168012
1_71_62,0,4993758.5,82,0.080042444,-0.062500075,0.12239467,0.774602155
1_71_63,0,5077223.75,82,0.06552857,-0.04752908,0.10192287,0.772524383
1_71_64,0,5196793.25,82,0.05706365,-0.054462772,0.113075644,0.800606713
1_71_65,0,5013384.5,82,0.07269824,-0.058672164,0.11754942,0.771297411
1_71_66,0,5013384.5,82,0.07269824,-0.058672164,0.11754942,0.771297411
