ID,Index,cv,mode,nbr,ndsi,ndvi,rcvmax
1_95_2789,0,1024663.75,82,0.17848337,0.01736822,0.27065608,0.165992617
1_95_2790,0,1046716.75,82,0.17768721,0.018028542,0.26213798,0.155781384
1_95_2791,0,837471.5,82,0.14461249,0.004689313,0.23577984,0.139666736
1_95_2792,0,1106830,82,0.14138366,0.006966226,0.22157562,0.188151831
1_95_2793,0,2100759,82,-0.00108671,-0.06409979,0.17856641,0.368044757
1_95_2794,0,3759109.75,82,-0.08589089,-0.08296665,0.09770757,0.488161955
1_95_2795,0,4199192.5,82,-0.10956208,-0.09142788,0.07201096,0.510534241
1_95_2796,0,4510865.75,82,-0.11292592,-0.08758875,0.0689446,0.540046106
1_95_2797,0,4447205.75,82,-0.10067314,-0.076731265,0.058351405,0.525614727
1_95_2798,0,4241739.25,82,-0.09481496,-0.076058455,0.06451036,0.516434196
1_95_2799,0,5665432.75,82,-0.11026468,-0.10077678,0.078167155,0.639913909
1_95_2800,0,6427099.25,82,-0.1265952,-0.11027437,0.0761387,0.688859617
1_95_2801,0,6335489.5,82,-0.11789966,-0.103768095,0.08227658,0.66554463
1_95_2802,0,5478663.75,82,-0.105233245,-0.094997376,0.07054433,0.600927122
1_95_2803,0,5287141.5,82,-0.09755534,-0.0911137,0.08333721,0.596006258
1_95_2804,0,6147327.25,82,-0.10554704,-0.10851026,0.091106296,0.670110501
1_95_2805,0,7009247.25,82,-0.12402159,-0.119223446,0.08752516,0.72507662
1_95_2806,0,7651782.5,82,-0.13626483,-0.11777449,0.08701857,0.751692509
1_95_2807,0,7578225.75,82,-0.13673657,-0.12170033,0.08632933,0.753790111
1_95_2808,0,7632980.25,82,-0.13992037,-0.1199206,0.081182875,0.754816196
1_95_2809,0,6590503.25,82,-0.13262492,-0.11187174,0.08497149,0.702313454
1_95_2810,0,6311282.75,82,-0.12794536,-0.10761449,0.079701535,0.681113405
1_95_2811,0,5421689,82,-0.10623522,-0.093058094,0.07491903,0.596350186
1_95_2812,0,5107679.5,82,-0.102115564,-0.08916746,0.07551285,0.569547023
1_95_2813,0,5794798.75,82,-0.11845564,-0.10239025,0.08056538,0.628962161
1_95_2814,0,7463657.75,82,-0.154118,-0.12595087,0.07814088,0.753800862
1_95_2815,0,7712405.75,82,-0.1643849,-0.13091822,0.076479435,0.783525461
1_95_2816,0,7883566.5,82,-0.17206647,-0.12774348,0.06884515,0.782293988
1_95_2817,0,7815547.75,82,-0.1729612,-0.114528894,0.062313613,0.756213874
1_95_2818,0,8007123,82,-0.17574522,-0.12495216,0.06521614,0.782443856
1_95_2819,0,6182017.75,82,-0.13419135,-0.11687671,0.07222281,0.671550414
1_95_2820,0,5473355.75,82,-0.112113096,-0.101631254,0.08192987,0.613405806
1_95_2821,0,4915464.75,82,-0.0979253,-0.08562914,0.07786598,0.556034905
1_95_2822,0,4821060.25,82,-0.09333171,-0.07798052,0.060852356,0.534258987
1_95_2823,0,5487550.75,82,-0.107721984,-0.09112209,0.065791845,0.595456874
1_95_2824,0,5402508.75,82,-0.103323236,-0.09189498,0.07289108,0.590199737
1_95_2825,0,5221198.5,82,-0.096068546,-0.09175344,0.07619383,0.576005781
1_95_2826,0,5092540.75,82,-0.08992188,-0.0878979,0.07848826,0.562082994
1_95_2827,0,5694625.75,82,-0.097407654,-0.10225294,0.08454544,0.61871205
1_95_2828,0,6065164.75,82,-0.10895225,-0.10982817,0.08218277,0.656143641
1_95_2829,0,5947822.75,82,-0.111110404,-0.10711141,0.079888135,0.641068382
1_95_2830,0,6069754,82,-0.11275443,-0.11122776,0.08557989,0.657529836
1_95_2831,0,1018019.5,82,0.18660134,0.02262983,0.28966638,0.159907926
1_95_2832,0,1226296.5,82,0.20415975,0.022332706,0.28704032,0.162645672
