system:index,NDVI,NDVI_count,NDVI_disp,confidence,cropland,cultivated_land
375,0.726528168,10,0.116913332,100,24,2
378,0.600480616,5,0.099666153,100,1,2
379,0.280955106,7,0.002596482,100,61,2
380,0.37319687,5,0.029160281,92,4,2
382,0.532727242,9,0.022946237,100,176,1
383,0.492596895,8,0.038276874,100,176,1
385,0.25995335,18,0.002187024,100,61,2
386,0.498577952,11,0.021503402,92,176,1
390,0.790985823,15,0.174621554,100,4,2
391,0.643885016,7,0.033710857,100,176,1
392,0.417578936,9,0.018051773,100,152,1
394,0.496798038,7,0.022646705,91,152,1
395,0.474459946,14,0.019452221,100,176,1
397,0.471778721,6,0.025898279,100,176,1
399,0.417403102,11,0.013017169,92,152,1
400,0.622855902,15,0.011947682,92,176,1
401,0.666766107,24,0.081013022,100,24,2
402,0.273166716,7,0.002010257,100,61,2
404,0.725306571,5,0.104811433,100,24,2
405,0.859254599,13,0.247815179,100,24,2
406,0.539067268,9,0.010438497,92,176,1
407,0.485153586,7,0.010318547,94,176,1
408,0.45928371,4,0.00593001,100,24,2
411,0.488253891,7,0.028353281,100,176,1
414,0.505377769,9,0.036820726,100,24,2
415,0.675196528,11,0.061364248,90,24,2
416,0.774709821,5,0.198005869,100,4,2
417,0.768403113,5,0.139829847,100,24,2
418,0.617204726,11,0.021138434,95,121,1
419,0.663657725,5,0.14357621,100,1,2
420,0.212259382,11,2.50E-04,100,61,2
421,0.518875062,15,0.041213578,100,176,1
422,0.79418236,11,0.229525321,92,4,2
424,0.420502007,3,0.035603863,92,176,1
427,0.517942965,9,0.039658135,100,176,1
429,0.711094618,15,0.103257385,94,1,2
432,0.784687698,7,0.08706127,100,176,1
433,0.583559275,6,0.027333419,90,176,1
435,0.514380455,5,0.032770802,100,24,2
436,0.860059142,5,0.262297164,100,24,2
438,0.538082719,7,0.076114563,100,24,2
440,0.60062331,6,0.002372058,92,176,1
441,0.348751247,19,0.009642382,91,176,1
442,0.505441487,9,0.009388488,91,176,1
443,0.722194076,5,0.116580867,100,24,2
446,0.490493387,4,4.07E-04,100,176,1
447,0.83638221,5,0.028519366,95,36,2
451,0.677609026,5,0.048959649,100,176,1
454,0.547306538,10,0.060751159,100,176,1
455,0.395155013,5,0.015566816,100,24,2
456,0.491276622,12,0.034504339,92,176,1
457,0.56106627,11,0.059550018,100,176,1
461,0.551702797,5,0.014954275,91,176,1
464,0.867544591,20,0.161600888,100,24,2
467,0.568212807,10,0.083462586,100,4,2
468,0.49639827,8,0.0399323,90,176,1
470,0.700441957,9,0.130959027,94,4,2
471,0.821696162,11,0.153600743,100,1,2
473,0.42443645,12,0.012505922,91,176,1
474,0.422558814,6,0.013780564,100,176,1
476,0.457355142,9,0.015726773,94,176,1
477,0.623437643,13,0.087101368,100,176,1
478,0.806170821,11,0.104766899,100,1,2
479,0.638631582,5,0.004504322,100,176,1
482,0.382540852,4,0.046126008,93,61,2
483,0.275673538,4,0.009538541,100,61,2
485,0.831931055,4,0.213111748,100,24,2
488,0.494389296,11,0.027433791,100,176,1
489,0.559817195,5,0.078091816,90,1,2
491,0.741267502,14,0.145547666,100,1,2
494,0.773347437,6,0.139671455,100,24,2
496,0.435238034,4,0.0364903,100,24,2
497,0.251782149,10,1.99E-04,100,61,2
500,0.513381541,19,0.007193288,100,176,1
501,0.374196619,11,0.012059483,94,61,2
502,0.31777671,5,0.011757713,94,24,2
503,0.642609537,8,0.116543601,100,24,2
505,0.293892264,10,0.005717899,100,61,2
508,0.484173864,4,0.006449287,100,176,1
510,0.545258105,10,0.019886705,100,152,1
513,0.833952546,17,0.240693638,100,1,2
514,0.490786374,8,0.006869662,100,176,1
515,0.637688339,10,0.083911766,100,61,2
518,0.687042534,14,0.15527402,100,4,2
521,0.838598549,6,0.141246707,100,1,2
522,0.484373152,14,0.03251832,100,176,1
523,0.595684409,14,0.023495588,93,176,1
524,0.444897473,24,0.014443031,100,176,1
525,0.466420025,7,0.026173636,100,176,1
526,0.5279634,8,0.026031508,91,176,1
527,0.532381296,6,0.018847555,92,176,1
528,0.581422389,3,0.001334613,100,176,1
530,0.713274658,7,0.123532066,100,1,2
533,0.464794546,4,0.027953446,100,176,1
534,0.475177288,11,0.019341049,100,176,1
535,0.828213036,3,0.401345808,100,24,2
537,0.658270538,5,0.012797926,94,176,1
539,0.79979825,7,0.134922511,100,24,2
545,0.219104424,5,0.003065978,100,61,2
547,0.785838544,6,0.1612681,100,1,2
548,0.772894561,10,0.125923033,100,24,2
550,0.823637307,17,0.162110975,100,24,2
551,0.460617781,3,0.001270042,100,176,1
552,0.494701624,12,0.039953935,100,176,1
554,0.505513489,10,0.027993891,100,121,1
556,0.675334513,6,0.077179432,100,24,2
557,0.457082778,5,0.022441616,93,176,1
558,0.773528457,5,0.131567086,90,4,2
560,0.443883508,14,0.027464729,100,176,1
561,0.703715801,5,0.15346547,100,4,2
562,0.369736373,3,0.027318831,100,24,2
563,0.412211895,6,0.012538448,90,152,1
565,0.400320113,5,0.024273273,100,176,1
566,0.334852844,7,0.011024922,100,61,2
567,0.603265643,6,0.060589841,100,176,1
568,0.528491497,16,0.026004566,100,176,1
575,0.552693605,16,0.02849924,100,176,1
576,0.805756986,5,0.13803739,100,4,2
580,0.636711776,14,0.05876513,100,24,2
581,0.806934953,14,0.138481423,100,24,2
582,0.487437785,8,0.016574478,94,176,1
583,0.760690153,8,0.093610502,95,2,2
584,0.270753741,4,0.001506626,100,61,2
585,0.622557223,3,0.004053422,100,176,1
586,0.419219375,8,0.011939315,100,61,2
588,0.307421386,9,0.017976146,100,176,1
591,0.450865209,8,0.018775339,100,152,1
593,0.514415562,4,0.050512979,100,24,2
599,0.474262565,16,0.020252317,92,176,1
600,0.453966707,6,0.020306859,100,176,1
602,0.711202502,5,0.215583909,93,4,2
