,N1,N0,NEG,,P1,P0,POS,cv,rcv,ndvi,ndsi
neg4210,34,5435,0.993783141,pos4210,1390,438,0.760393873,2.5,1.5,0.5,0.5
neg4010,35,5434,0.993600293,pos4010,1390,438,0.760393873,2.5,0.75,0.5,0.5
neg4110,35,5434,0.993600293,pos4110,1390,438,0.760393873,2.5,1,0.5,0.5
neg2411,194,5275,0.964527336,pos2411,1384,444,0.757111597,1.5,2.5,0.5,0.75
neg2311,201,5268,0.963247394,pos2311,1384,444,0.757111597,1.5,2,0.5,0.75
neg2211,233,5236,0.957396233,pos2211,1384,444,0.757111597,1.5,1.5,0.5,0.75
neg1411,237,5232,0.956664838,pos1411,1384,444,0.757111597,1,2.5,0.5,0.75
neg2011,242,5227,0.955750594,pos2011,1384,444,0.757111597,1.5,0.75,0.5,0.75
neg2111,242,5227,0.955750594,pos2111,1384,444,0.757111597,1.5,1,0.5,0.75
neg1311,247,5222,0.95483635,pos1311,1384,444,0.757111597,1,2,0.5,0.75
neg0411,251,5218,0.954104955,pos0411,1384,444,0.757111597,0.75,2.5,0.5,0.75
neg0311,276,5193,0.949533736,pos0311,1384,444,0.757111597,0.75,2,0.5,0.75
neg1211,573,4896,0.895227647,pos1211,1384,444,0.757111597,1,1.5,0.5,0.75
neg0211,641,4828,0.882793929,pos0211,1384,444,0.757111597,0.75,1.5,0.5,0.75
neg1111,945,4524,0.827207899,pos1111,1384,444,0.757111597,1,1,0.5,0.75
neg1011,946,4523,0.82702505,pos1011,1384,444,0.757111597,1,0.75,0.5,0.75
neg0111,1105,4364,0.797952094,pos0111,1384,444,0.757111597,0.75,1,0.5,0.75
neg0011,1106,4363,0.797769245,pos0011,1384,444,0.757111597,0.75,0.75,0.5,0.75
neg3411,130,5339,0.976229658,pos3411,1382,446,0.756017505,2,2.5,0.5,0.75
neg3311,131,5338,0.976046809,pos3311,1382,446,0.756017505,2,2,0.5,0.75
neg3211,155,5314,0.971658438,pos3211,1382,446,0.756017505,2,1.5,0.5,0.75
neg3011,160,5309,0.970744195,pos3011,1382,446,0.756017505,2,0.75,0.5,0.75
neg3111,160,5309,0.970744195,pos3111,1382,446,0.756017505,2,1,0.5,0.75
neg4311,32,5437,0.994148839,pos4311,1377,451,0.753282276,2.5,2,0.5,0.75
neg4411,32,5437,0.994148839,pos4411,1377,451,0.753282276,2.5,2.5,0.5,0.75
neg4211,34,5435,0.993783141,pos4211,1377,451,0.753282276,2.5,1.5,0.5,0.75
neg4011,35,5434,0.993600293,pos4011,1377,451,0.753282276,2.5,0.75,0.5,0.75
neg4111,35,5434,0.993600293,pos4111,1377,451,0.753282276,2.5,1,0.5,0.75
neg2412,175,5294,0.968001463,pos2412,1374,454,0.751641138,1.5,2.5,0.5,1
neg2312,182,5287,0.966721521,pos2312,1374,454,0.751641138,1.5,2,0.5,1
neg1412,213,5256,0.961053209,pos1412,1374,454,0.751641138,1,2.5,0.5,1
neg2212,214,5255,0.96087036,pos2212,1374,454,0.751641138,1.5,1.5,0.5,1
neg1312,223,5246,0.959224721,pos1312,1374,454,0.751641138,1,2,0.5,1
neg2012,223,5246,0.959224721,pos2012,1374,454,0.751641138,1.5,0.75,0.5,1
neg2112,223,5246,0.959224721,pos2112,1374,454,0.751641138,1.5,1,0.5,1
neg0412,227,5242,0.958493326,pos0412,1374,454,0.751641138,0.75,2.5,0.5,1
neg0312,252,5217,0.953922106,pos0312,1374,454,0.751641138,0.75,2,0.5,1
neg1212,549,4920,0.899616018,pos1212,1374,454,0.751641138,1,1.5,0.5,1
neg0212,616,4853,0.887365149,pos0212,1374,454,0.751641138,0.75,1.5,0.5,1
neg1112,921,4548,0.83159627,pos1112,1374,454,0.751641138,1,1,0.5,1
neg1012,922,4547,0.831413421,pos1012,1374,454,0.751641138,1,0.75,0.5,1
neg0112,1080,4389,0.802523313,pos0112,1374,454,0.751641138,0.75,1,0.5,1
neg0012,1081,4388,0.802340464,pos0012,1374,454,0.751641138,0.75,0.75,0.5,1
neg3412,130,5339,0.976229658,pos3412,1372,456,0.750547046,2,2.5,0.5,1
neg3312,131,5338,0.976046809,pos3312,1372,456,0.750547046,2,2,0.5,1
neg3212,155,5314,0.971658438,pos3212,1372,456,0.750547046,2,1.5,0.5,1
neg3012,160,5309,0.970744195,pos3012,1372,456,0.750547046,2,0.75,0.5,1
neg3112,160,5309,0.970744195,pos3112,1372,456,0.750547046,2,1,0.5,1
neg4312,32,5437,0.994148839,pos4312,1367,461,0.747811816,2.5,2,0.5,1
neg4412,32,5437,0.994148839,pos4412,1367,461,0.747811816,2.5,2.5,0.5,1
neg4212,34,5435,0.993783141,pos4212,1367,461,0.747811816,2.5,1.5,0.5,1
neg4012,35,5434,0.993600293,pos4012,1367,461,0.747811816,2.5,0.75,0.5,1
neg4112,35,5434,0.993600293,pos4112,1367,461,0.747811816,2.5,1,0.5,1
neg2413,59,5410,0.989211922,pos2413,1354,474,0.740700219,1.5,2.5,0.5,1.5
neg2313,66,5403,0.98793198,pos2313,1354,474,0.740700219,1.5,2,0.5,1.5
neg1413,88,5381,0.983909307,pos1413,1354,474,0.740700219,1,2.5,0.5,1.5
neg2213,91,5378,0.983360761,pos2213,1354,474,0.740700219,1.5,1.5,0.5,1.5
