FID,Shape,Shape_Leng,Shape_Area,RATIO,CONVEX,PERIM,AREA,MAJORITY,SCORE
6937,Polygon ZM,1146.10494,3.525284,38.3739,0.524328,600.935,6.06811,71,18.25338976
6942,Polygon ZM,773.269313,2.083192,33.6802,0.555471,429.529,3.09585,71,14.97182563
6957,Polygon ZM,1017.559665,4.623181,29.7507,0.589098,599.442,6.01977,71,12.22462213
6976,Polygon ZM,718.855963,1.522794,36.621,0.586243,421.424,2.66007,71,15.1521951
6991,Polygon ZM,549.652437,1.328278,29.9814,0.721754,396.714,2.25229,52,8.342204624
7015,Polygon ZM,1256.761413,5.998808,32.2574,0.569495,715.72,8.36168,71,13.88697199
7032,Polygon ZM,858.179797,1.946359,38.6701,0.656459,563.36,3.33387,52,13.28476482
7069,Polygon ZM,616.77279,2.931637,22.6453,0.730681,450.664,3.54882,71,6.098809551
7083,Polygon ZM,787.376727,3.918723,25.0045,0.792012,623.612,5.12523,71,5.200635946
7087,Polygon ZM,447.678708,1.040628,27.5884,0.708148,317.023,1.46459,71,8.051729717
7112,Polygon ZM,554.313171,1.963514,24.8683,0.753316,417.573,2.51215,52,6.134611717
7142,Polygon ZM,556.61351,1.293349,30.7684,0.693264,385.88,2.21027,71,9.437775942
7154,Polygon ZM,619.394787,1.636301,30.44,0.769813,476.818,2.6662,52,7.00689228
7159,Polygon ZM,849.429653,3.300831,29.3917,0.647104,549.669,4.59414,71,10.37221336
7162,Polygon ZM,522.037293,1.214103,29.7839,0.706605,368.874,1.82115,71,8.738447341
7172,Polygon ZM,2821.814034,11.248459,52.892,0.499037,1408.19,23.9319,71,26.496935
7175,Polygon ZM,1500.779785,4.757977,43.2528,0.468104,702.521,8.36016,71,23.00599131
7188,Polygon ZM,428.979591,1.252054,24.1009,0.750241,321.838,1.55062,71,6.019416683
7218,Polygon ZM,877.943121,1.943896,39.5857,0.550194,483.039,3.39701,52,17.80588537
7223,Polygon ZM,1728.415179,5.951781,44.5382,0.484378,837.206,11.0657,71,22.96487576
7272,Polygon ZM,1982.430955,7.840318,44.5082,0.482458,956.44,14.39,71,23.03486284
7312,Polygon ZM,478.567085,1.309863,26.2868,0.712228,340.849,1.75291,71,7.56460501
7320,Polygon ZM,624.09392,1.424798,32.8686,0.694525,433.449,2.42601,52,10.04053559
7321,Polygon ZM,503.350747,1.290548,27.8543,0.743678,374.331,1.69505,71,7.139669885
7367,Polygon ZM,539.076162,1.156271,31.5158,0.64922,349.979,1.85967,71,11.05511232
7370,Polygon ZM,2318.394556,7.627577,52.7719,0.416471,965.545,14.947,71,30.79393404
7374,Polygon ZM,810.031616,2.022782,35.8044,0.570863,462.417,3.54469,71,15.3649928
7434,Polygon ZM,1043.862168,3.525077,34.9516,0.633091,660.86,6.78048,71,12.8240566
7480,Polygon ZM,1567.402165,3.968364,49.4633,0.45979,720.676,7.89823,52,26.72056929
