ID,B2,B3,B4,B5,B6,B7,Class,nbr,ndsi,ndvi,Season
2_2_4_455,0.10349713,0.10169969,0.086317286,0.29118723,0.25400057,0.12732987,scrub,0.3915189,-0.428172,0.54269534,2
2_2_4_456,0.10258731,0.099946626,0.08372376,0.28121182,0.2411037,0.120983355,scrub,0.39838487,-0.41388926,0.5411587,2
2_2_4_457,0.10258731,0.099946626,0.08372376,0.28121182,0.2411037,0.120983355,scrub,0.39838487,-0.41388926,0.5411587,2
2_2_4_458,0.103275225,0.09903681,0.08609967,0.2666427,0.2543269,0.12850598,scrub,0.34958163,-0.43946248,0.5118269,2
2_2_4_459,0.1028536,0.09885929,0.0860331,0.27179092,0.248669,0.124410585,scrub,0.3719833,-0.431072,0.5191318,2
2_2_4_460,0.10254294,0.098016046,0.0846129,0.287417,0.23414755,0.11499772,scrub,0.42846164,-0.4098327,0.5451285,2
2_2_4_461,0.10249855,0.099436246,0.08356994,0.29293862,0.2335606,0.113193415,scrub,0.44257826,-0.40277967,0.5560795,2
2_2_4_462,0.10249855,0.099436246,0.08356994,0.29293862,0.2335606,0.113193415,scrub,0.44257826,-0.40277967,0.5560795,2
2_2_4_463,0.10329741,0.09941405,0.08503452,0.28352737,0.24229956,0.119236775,scrub,0.4079077,-0.41814405,0.53856045,2
2_2_4_464,0.10340281,0.09919215,0.085123286,0.27628294,0.24926151,0.1237687,scrub,0.38123637,-0.43067238,0.5289329,2
2_2_4_465,0.10347494,0.101433404,0.08709825,0.27699366,0.25381652,0.12559901,scrub,0.3760492,-0.42894623,0.521559,2
2_2_4_466,0.10347494,0.101433404,0.08709825,0.27699366,0.25381652,0.12559901,scrub,0.3760492,-0.42894623,0.521559,2
2_2_4_467,0.103696845,0.10103397,0.08991646,0.26775035,0.24720964,0.12988721,scrub,0.34670553,-0.4197512,0.49720547,2
2_2_4_468,0.105250195,0.10187721,0.08989427,0.26121667,0.2463647,0.12995395,scrub,0.33556384,-0.41490552,0.48794377,2
2_2_4_469,0.103341796,0.10101178,0.086343765,0.26348925,0.25255165,0.12801778,scrub,0.34602562,-0.42860729,0.50637156,2
2_2_4_470,0.103275225,0.102986746,0.086831965,0.2751581,0.25093552,0.12351309,scrub,0.38037616,-0.41802618,0.5202522,2
2_2_4_471,0.103275225,0.102986746,0.086831965,0.2751581,0.25093552,0.12351309,scrub,0.38037616,-0.41802618,0.5202522,2
2_2_4_472,0.10248503,0.09985787,0.08862868,0.2731259,0.24897859,0.12573215,scrub,0.36953932,-0.4274803,0.51000655,2
2_2_4_473,0.10420723,0.10249855,0.08907322,0.26311776,0.25272918,0.12801778,scrub,0.3454045,-0.42291355,0.4941766,2
2_2_4_474,0.1045179,0.10143278,0.0902937,0.263982,0.24419083,0.12328017,scrub,0.3633245,-0.41304484,0.4902631,2
2_2_4_475,0.10536114,0.10358491,0.092135526,0.2681,0.24658209,0.12291061,scrub,0.37131828,-0.40836853,0.4884706,2
2_2_4_476,0.10536114,0.10358491,0.092135526,0.2681,0.24658209,0.12291061,scrub,0.37131828,-0.40836853,0.4884706,2
2_2_4_477,0.105538666,0.1027371,0.09160295,0.26978257,0.24937297,0.12698093,scrub,0.35991627,-0.41644895,0.4930458,2
2_2_4_478,0.10438476,0.10196598,0.08661006,0.2787418,0.25091192,0.12733056,scrub,0.37286764,-0.4220892,0.5258814,2
2_2_4_479,0.104251616,0.10338618,0.08818559,0.2846418,0.25138333,0.1290787,scrub,0.37601012,-0.41716424,0.5269361,2
2_2_4_480,0.10467324,0.10447352,0.08990107,0.30166438,0.25849873,0.1289276,scrub,0.40116116,-0.42434433,0.5408121,2
2_2_4_481,0.10502829,0.10340837,0.08776397,0.2962014,0.25710073,0.12757397,scrub,0.39791703,-0.42632034,0.5428548,2
2_2_4_482,0.10502829,0.10340837,0.08776397,0.2962014,0.25710073,0.12757397,scrub,0.39791703,-0.42632034,0.5428548,2
2_2_4_483,0.1030977,0.10158873,0.08572243,0.2969773,0.2540949,0.12637568,scrub,0.4029773,-0.42876914,0.5520121,2
2_2_4_484,0.10480133,0.10218789,0.08771959,0.28793302,0.2594751,0.1320121,scrub,0.3712888,-0.43489996,0.53297496,2
2_2_4_485,0.10320865,0.101855025,0.08688315,0.28099257,0.25159568,0.13005933,scrub,0.3671878,-0.42365357,0.52764946,2
2_2_4_486,0.10311873,0.10205474,0.08888955,0.27749625,0.2505323,0.12861693,scrub,0.36659563,-0.42110896,0.51477623,2
2_2_4_487,0.10311873,0.10205474,0.08888955,0.27749625,0.2505323,0.12861693,scrub,0.36659563,-0.42110896,0.51477623,2
2_2_4_488,0.10294236,0.099880055,0.08573744,0.27443162,0.25159746,0.12533271,scrub,0.372967,-0.4316561,0.5239045,2
2_2_4_489,0.1030977,0.097749755,0.08481261,0.2711374,0.24738641,0.12434537,scrub,0.3711717,-0.43355832,0.5234577,2
2_2_4_490,0.10236541,0.09756837,0.08299298,0.29065105,0.2359736,0.11686725,scrub,0.42644417,-0.41495594,0.55576444,2
2_2_4_491,0.10322236,0.09968034,0.085833386,0.29012662,0.24075611,0.11871504,scrub,0.41926154,-0.41439676,0.54339087,2
2_2_4_492,0.10322236,0.09968034,0.085833386,0.29012662,0.24075611,0.11871504,scrub,0.41926154,-0.41439676,0.54339087,2
2_2_4_493,0.1035637,0.09897024,0.08641034,0.2796908,0.24256043,0.12119019,scrub,0.3953807,-0.42043132,0.5279428,2
2_2_4_494,0.10307551,0.098526426,0.084923565,0.27411345,0.24357933,0.12309147,scrub,0.38021177,-0.42400017,0.526937,2
2_2_4_495,0.10307551,0.09996882,0.08550052,0.2744807,0.25305748,0.12593186,scrub,0.37098947,-0.43364662,0.5249723,2
2_2_4_496,0.10307551,0.09996882,0.08550052,0.2744807,0.25305748,0.12593186,scrub,0.37098947,-0.43364662,0.5249723,2
2_2_4_497,0.10431819,0.10204146,0.08900665,0.27568257,0.2542341,0.13193217,scrub,0.3526624,-0.42717677,0.5118767,2
2_2_4_498,0.105671816,0.103084914,0.093000956,0.26697555,0.25127766,0.13106263,scrub,0.341457,-0.41819525,0.4832943,2
2_2_4_499,0.104961716,0.10283141,0.093067534,0.26081455,0.24946037,0.13290277,scrub,0.32488227,-0.41621456,0.47401953,2
