system:index,Class,NDVI,NDVI_variance
1_1_9_313,2,0.7287054,0.020193614
1_1_9_314,2,0.7138718,0.019484758
1_1_9_315,2,0.7080959,0.021732093
1_1_9_316,2,0.7080959,0.021732093
1_1_9_317,2,0.7251843,0.023974204
1_1_9_318,2,0.7355778,0.025635654
1_1_9_319,2,0.7316702,0.022669548
1_1_9_320,2,0.74625176,0.022446234
1_1_9_321,2,0.74625176,0.022446234
1_1_9_322,2,0.7189296,0.019437043
1_1_9_323,2,0.673294,0.016767527
1_1_9_324,2,0.62352467,0.014941425
1_1_9_325,2,0.59550685,0.01500679
1_1_9_326,2,0.59550685,0.01500679
1_1_9_327,2,0.6997415,0.029621551
1_1_9_328,2,0.6997415,0.029621551
1_1_9_329,2,0.67150146,0.022626779
1_1_9_330,2,0.68357897,0.017833817
1_1_9_331,2,0.6919019,0.015140503
1_1_9_332,2,0.70793283,0.016918002
1_1_9_333,2,0.70793283,0.016918002
1_1_9_334,2,0.69037604,0.017306842
1_1_9_335,2,0.73997205,0.019764835
1_1_9_336,2,0.72408515,0.018238509
1_1_9_337,2,0.7022896,0.017115212
1_1_9_338,2,0.7022896,0.017115212
1_1_9_339,2,0.6564281,0.016094341
1_1_9_340,2,0.73835605,0.023993739
1_1_9_341,2,0.73863506,0.022113434
1_1_9_342,2,0.73602146,0.020513819
1_1_9_343,2,0.73602146,0.020513819
1_1_9_344,2,0.7064924,0.017543663
1_1_9_345,2,0.6886258,0.016144682
1_1_9_346,2,0.68502903,0.03328646
1_1_9_347,2,0.6812796,0.031190211
1_1_9_348,2,0.6498631,0.01941923
1_1_9_349,2,0.64996314,0.012665139
1_1_9_350,2,0.67525434,0.01313506
1_1_9_351,2,0.67525434,0.01313506
1_1_9_352,2,0.6871644,0.016567564
1_1_9_353,2,0.7413968,0.020232775
1_1_9_354,2,0.71616864,0.017184928
1_1_9_355,2,0.6850453,0.013548427
1_1_9_356,2,0.6850453,0.013548427
1_1_9_357,2,0.637398,0.012372004
1_1_9_358,2,0.67103976,0.014649386
1_1_9_359,2,0.69151604,0.014615134
1_1_9_360,2,0.7093443,0.01612369
1_1_9_361,2,0.628993,0.016635881
1_1_9_362,2,0.6233331,0.013531724
1_1_9_363,2,0.68430173,0.013364571
1_1_9_364,2,0.68430173,0.013364571
1_1_9_365,2,0.70559686,0.015826745
1_1_9_366,2,0.7357369,0.020152363
1_1_9_367,2,0.7476299,0.022561982
1_1_9_368,2,0.71397096,0.01637304
1_1_9_369,2,0.71397096,0.01637304
1_1_10_0,2,0.675353,0.014904438
1_1_10_1,2,0.68467575,0.017626856
1_1_10_2,2,0.70704436,0.017755627
1_1_10_3,2,0.75632995,0.028009927
1_1_10_4,2,0.75632995,0.028009927
1_1_10_5,2,0.7656957,0.028191405
1_1_10_6,2,0.77061534,0.032798718
1_1_10_7,2,0.7778691,0.0333577
1_1_10_8,2,0.7759849,0.032333018
1_1_10_9,2,0.7759849,0.032333018
1_1_10_10,2,0.7823058,0.034195335
1_1_10_11,2,0.79186594,0.03625426
1_1_10_12,2,0.79516,0.036709392
1_1_10_13,2,0.7940799,0.036451743
1_1_10_14,2,0.7940799,0.036451743
1_1_10_15,2,0.78831154,0.036232142
1_1_10_16,2,0.79174376,0.035566807
1_1_10_17,2,0.79118073,0.036247989
1_1_10_18,2,0.78611094,0.035620283
1_1_10_19,2,0.78611094,0.035620283
1_1_10_20,2,0.78054017,0.033233072
1_1_10_21,2,0.79374784,0.037671181
1_1_10_22,2,0.8025691,0.041510284
1_1_10_23,2,0.8022397,0.040299103
1_1_10_24,2,0.8022397,0.040299103
1_1_10_25,2,0.80857,0.041072462
1_1_10_26,2,0.8132859,0.042604948
1_1_10_27,2,0.8120268,0.04320982
1_1_10_28,2,0.8055175,0.041731094
1_1_10_29,2,0.8055175,0.041731094
1_1_10_30,2,0.8050462,0.042523356
1_1_10_31,2,0.6500094,0.013472519
1_1_10_32,2,0.6784442,0.017699261
1_1_10_33,2,0.70279175,0.013080945
1_1_10_34,2,0.7520683,0.026748969
1_1_10_35,2,0.7520683,0.026748969
1_1_10_36,2,0.76036865,0.026775159
1_1_10_37,2,0.76691985,0.032002906
1_1_10_38,2,0.77179533,0.030788643
1_1_10_39,2,0.7734733,0.030592882
1_1_10_40,2,0.7734733,0.030592882
1_1_10_41,2,0.77994436,0.033210056
1_1_10_42,2,0.7884087,0.034454574
1_1_10_43,2,0.79071593,0.035876736
1_1_10_44,2,0.79283667,0.036173435
1_1_10_45,2,0.79283667,0.036173435
1_1_10_46,2,0.7884623,0.034403591
1_1_10_47,2,0.7922766,0.034527869
1_1_10_48,2,0.7931281,0.037063344
1_1_10_49,2,0.7903781,0.034986845
1_1_10_50,2,0.7903781,0.034986845
1_1_10_51,2,0.7935127,0.035926952
1_1_10_52,2,0.799838,0.03983374
1_1_10_53,2,0.7987974,0.040046113
1_1_10_54,2,0.79390377,0.038367831
1_1_10_55,2,0.79390377,0.038367831
1_1_10_56,2,0.7910518,0.037825479
1_1_10_57,2,0.799391,0.040261048
1_1_10_58,2,0.80613106,0.041989608
1_1_10_59,2,0.80202556,0.041810649
1_1_10_60,2,0.80132866,0.041219786
1_1_10_61,2,0.80132866,0.041219786
1_1_10_62,2,0.6316328,0.012022683
1_1_10_63,2,0.6791801,0.017347412
1_1_10_64,2,0.68109614,0.00990313
1_1_10_65,2,0.7379595,0.025738197
1_1_10_66,2,0.75699973,0.02719652
1_1_10_67,2,0.75699973,0.02719652
1_1_10_68,2,0.7569603,0.027792703
1_1_10_69,2,0.76438946,0.027665984
1_1_10_70,2,0.7720086,0.030627712
1_1_10_71,2,0.7736269,0.033153219
1_1_10_72,2,0.7736269,0.033153219
1_1_10_73,2,0.7845362,0.033762108
1_1_10_74,2,0.791511,0.03453515
1_1_10_75,2,0.7845407,0.03472423
1_1_10_76,2,0.78460974,0.033781826
1_1_10_77,2,0.78460974,0.033781826
1_1_10_78,2,0.79107195,0.034296629
1_1_10_79,2,0.79681367,0.035104766
1_1_10_80,2,0.7891518,0.037393319
1_1_10_81,2,0.7909797,0.0373508
1_1_10_82,2,0.7909797,0.0373508
1_1_10_83,2,0.791731,0.037066842
1_1_10_84,2,0.79522026,0.038794473
1_1_10_85,2,0.79555243,0.039017375
1_1_10_86,2,0.79208744,0.038602492
1_1_10_87,2,0.79208744,0.038602492
1_1_10_88,2,0.7917968,0.039832705
1_1_10_89,2,0.7979236,0.040469056
1_1_10_90,2,0.79859114,0.040625619
